customer_id,age,gender,province,main_channel,favorite_category,first_purchase_date,last_purchase_date,recency_days,total_orders,total_spend_thb,avg_order_value_thb,pdpa_marketing_consent,line_oa_member
C0030,29,M,ระยอง,Website,Haircare,2025-11-18,2025-11-18,225,1,477,665,Yes,No
C0031,32,M,กรุงเทพฯ,TikTok Shop,Skincare,2025-01-29,2026-06-24,7,2,745,463,No,Yes
C0032,40,F,กรุงเทพฯ,Shopee,Haircare,2025-07-25,2026-06-05,26,8,7899,1008,Yes,No
C0033,24,F,ขอนแก่น,LINE OA,Makeup,2026-04-04,2026-06-12,19,20,38555,1931,Yes,No
C0034,51,M,สงขลา,Shopee,Fragrance,2026-05-22,2026-06-22,9,40,79143,1978,Yes,No
C0035,37,M,ระยอง,TikTok Shop,Makeup,2025-12-30,2026-06-05,26,11,7520,671,Yes,Yes
C0036,53,M,สงขลา,Website,Supplements,2025-04-06,2026-06-25,6,25,68754,2752,Yes,Yes
C0037,28,F,กรุงเทพฯ,TikTok Shop,Haircare,2024-07-14,2025-12-10,203,7,6725,952,Yes,No
C0038,19,M,นนทบุรี,Website,Skincare,2026-06-16,2026-06-16,15,1,492,617,No,No
C0039,43,M,กรุงเทพฯ,TikTok Shop,Skincare,2024-08-25,2026-02-12,139,9,9797,1089,Yes,Yes
C0040,33,F,ภูเก็ต,TikTok Shop,Fragrance,2026-05-28,2026-05-28,34,1,565,480,Yes,Yes
C0041,57,M,สมุทรปราการ,LINE OA,Supplements,2025-10-13,2025-10-13,261,1,580,554,No,Yes
C0042,35,F,กรุงเทพฯ,Lazada,Supplements,2024-07-20,2026-06-02,29,3,2284,786,Yes,No
C0043,23,M,กรุงเทพฯ,TikTok Shop,Skincare,2026-06-09,2026-06-09,22,1,654,578,Yes,No
C0044,42,M,ขอนแก่น,Lazada,Fragrance,2024-08-31,2025-12-04,209,6,6235,1055,Yes,No
C0045,52,F,ปทุมธานี,Website,Supplements,2024-11-03,2026-06-07,24,5,4814,960,No,Yes
C0046,52,F,ชลบุรี,LINE OA,Skincare,2024-08-27,2026-06-25,6,22,62697,2856,Yes,No
C0047,31,F,ปทุมธานี,Shopee,Makeup,2025-02-15,2026-02-15,136,10,9714,972,Yes,No
C0048,32,M,กรุงเทพฯ,Website,Haircare,2025-06-02,2026-06-25,6,6,6312,1081,Yes,No
C0049,54,F,สงขลา,Shopee,Fragrance,2026-01-21,2026-06-17,14,5,6222,1236,Yes,Yes
C0050,19,F,ภูเก็ต,LINE OA,Fragrance,2024-06-08,2026-02-20,131,9,5408,617,Yes,No
C0051,54,F,เชียงใหม่,LINE OA,Supplements,2026-01-05,2026-06-07,24,8,5739,704,Yes,Yes
C0052,47,N/A,กรุงเทพฯ,Shopee,Haircare,2024-01-18,2025-11-28,215,4,3705,930,Yes,No
C0053,35,F,สมุทรปราการ,Lazada,Skincare,2024-03-08,2025-12-04,209,8,8134,995,Yes,No
C0054,49,M,นนทบุรี,Website,Supplements,2026-03-20,2026-05-18,44,12,14168,1183,Yes,Yes
C0055,33,M,ชลบุรี,TikTok Shop,Haircare,2026-03-01,2026-06-26,5,9,10418,1169,Yes,No
C0056,37,F,อุดรธานี,Lazada,Haircare,2025-09-19,2026-06-25,6,2,641,317,Yes,No
C0057,30,M,กรุงเทพฯ,Shopee,Skincare,2025-08-23,2026-01-23,159,6,5702,964,Yes,No
C0058,36,F,กรุงเทพฯ,LINE OA,Fragrance,2024-08-17,2026-05-20,42,12,10664,883,No,Yes
C0059,36,F,กรุงเทพฯ,Shopee,Haircare,2024-11-03,2026-06-22,9,29,49649,1718,Yes,No
C0060,48,F,อุดรธานี,Shopee,Skincare,2025-02-26,2025-12-11,202,7,6756,990,Yes,Yes
C0061,44,F,สมุทรปราการ,LINE OA,Haircare,2024-11-04,2026-06-28,3,16,38964,2444,Yes,Yes
C0062,37,F,กรุงเทพฯ,Lazada,Makeup,2025-05-27,2025-05-27,400,1,421,402,Yes,No
C0063,22,F,กรุงเทพฯ,Shopee,Skincare,2024-07-26,2026-03-13,110,6,6944,1176,Yes,No
C0064,58,F,กรุงเทพฯ,Shopee,Makeup,2025-08-01,2026-05-28,34,9,11790,1319,Yes,Yes
C0065,54,F,สมุทรปราการ,Shopee,Fragrance,2024-06-14,2026-03-15,108,6,3827,645,Yes,Yes
C0066,56,F,กรุงเทพฯ,Lazada,Skincare,2025-08-17,2025-08-17,318,1,347,506,Yes,Yes
C0067,48,N/A,นนทบุรี,TikTok Shop,Makeup,2025-11-12,2026-06-09,22,5,7105,1383,Yes,Yes
C0068,60,F,นครราชสีมา,Shopee,Skincare,2024-12-10,2025-12-03,210,7,4121,593,Yes,Yes
C0069,23,F,ขอนแก่น,Lazada,Skincare,2025-06-22,2025-06-22,374,1,698,666,Yes,No
C0070,51,M,กรุงเทพฯ,TikTok Shop,Makeup,2026-06-01,2026-06-01,30,1,751,855,Yes,No
C0071,19,F,ระยอง,LINE OA,Fragrance,2025-12-26,2026-05-29,33,7,6306,894,Yes,Yes
C0072,25,F,ชลบุรี,LINE OA,Haircare,2025-02-06,2026-06-23,8,25,39383,1581,Yes,No
C0073,30,M,กรุงเทพฯ,Lazada,Fragrance,2025-04-15,2026-06-11,20,12,12870,1083,Yes,No
C0074,37,M,สมุทรปราการ,Lazada,Supplements,2025-07-14,2026-05-29,33,2,1097,648,Yes,No
C0075,38,F,นนทบุรี,Website,Supplements,2024-07-04,2025-11-12,231,6,5033,840,No,Yes
C0076,27,F,กรุงเทพฯ,TikTok Shop,Makeup,2024-07-21,2026-06-18,13,35,109934,3137,Yes,Yes
C0077,44,M,กรุงเทพฯ,LINE OA,Supplements,2025-12-02,2026-05-28,34,2,611,402,No,Yes
C0078,42,F,สงขลา,LINE OA,Fragrance,2024-11-22,2026-06-21,10,11,14060,1265,Yes,No
C0079,45,F,กรุงเทพฯ,LINE OA,Fragrance,2026-02-19,2026-06-21,10,14,30436,2161,Yes,No
C0080,41,M,กรุงเทพฯ,Website,Makeup,2024-12-08,2026-01-09,173,4,2138,547,Yes,Yes
C0081,55,F,กรุงเทพฯ,TikTok Shop,Skincare,2024-12-10,2026-06-02,29,6,7267,1224,Yes,Yes
C0082,55,F,กรุงเทพฯ,Shopee,Skincare,2025-05-09,2026-05-27,35,2,1214,594,No,No
C0083,54,M,ปทุมธานี,Shopee,Skincare,2025-05-19,2026-06-20,11,11,12126,1094,Yes,Yes
C0084,56,F,นครราชสีมา,Website,Supplements,2025-09-03,2026-05-26,36,5,6046,1220,Yes,Yes
C0085,37,F,กรุงเทพฯ,LINE OA,Supplements,2026-04-15,2026-06-24,7,3,1450,440,Yes,Yes
C0086,51,M,นนทบุรี,Shopee,Makeup,2025-05-06,2026-06-14,17,11,8645,779,Yes,Yes
C0087,47,M,นครราชสีมา,Website,Fragrance,2025-06-25,2025-06-25,371,1,259,401,Yes,No
C0088,34,M,ชลบุรี,Shopee,Makeup,2025-11-16,2025-12-30,183,7,7492,1070,Yes,No
C0089,38,M,ขอนแก่น,Lazada,Fragrance,2024-10-16,2026-06-12,19,10,7217,710,Yes,Yes
C0090,49,F,ปทุมธานี,Shopee,Skincare,2025-07-12,2026-06-18,13,11,7728,719,Yes,Yes
C0091,44,N/A,กรุงเทพฯ,Lazada,Haircare,2025-06-11,2025-12-16,197,9,9649,1053,No,No
C0092,24,M,กรุงเทพฯ,Website,Fragrance,2025-05-11,2026-06-16,15,23,47967,2089,Yes,No
C0093,58,F,กรุงเทพฯ,Shopee,Makeup,2024-07-10,2026-05-28,34,8,5708,725,Yes,No
C0094,32,F,กรุงเทพฯ,Lazada,Skincare,2026-05-26,2026-05-26,36,1,280,370,Yes,No
C0095,60,M,ภูเก็ต,TikTok Shop,Supplements,2025-10-30,2025-10-30,244,1,382,526,Yes,Yes
C0096,25,F,กรุงเทพฯ,Shopee,Haircare,2024-12-02,2026-06-23,8,7,6112,871,Yes,No
C0097,37,F,สมุทรปราการ,TikTok Shop,Makeup,2024-09-05,2026-03-22,101,5,5782,1129,No,Yes
C0098,56,F,ภูเก็ต,Shopee,Skincare,2024-12-16,2025-12-10,203,4,3849,1002,Yes,No
C0099,59,F,สมุทรปราการ,TikTok Shop,Haircare,2025-12-29,2026-05-25,37,9,9426,1064,Yes,No
C0100,38,F,สมุทรปราการ,TikTok Shop,Makeup,2026-01-25,2026-06-01,30,2,1467,647,Yes,Yes
C0101,26,F,กรุงเทพฯ,Website,Makeup,2025-05-13,2026-06-28,3,38,59043,1549,Yes,No
C0102,36,F,นครราชสีมา,Website,Haircare,2025-09-24,2025-12-15,198,10,11979,1181,Yes,No
C0103,35,N/A,อุดรธานี,Website,Makeup,2025-08-09,2026-01-03,179,10,6088,610,Yes,No
C0104,19,F,กรุงเทพฯ,TikTok Shop,Skincare,2025-05-28,2026-03-27,96,9,9766,1070,Yes,Yes
C0105,19,F,กรุงเทพฯ,Shopee,Skincare,2024-07-23,2026-06-01,30,7,8432,1179,Yes,Yes
C0106,28,F,สมุทรปราการ,TikTok Shop,Supplements,2025-11-13,2026-05-21,41,10,13776,1395,Yes,Yes
C0107,40,F,สงขลา,Shopee,Makeup,2025-08-30,2026-01-23,159,7,6530,924,Yes,No
C0108,31,F,สมุทรปราการ,Shopee,Supplements,2025-06-15,2026-05-19,43,8,7936,1004,Yes,Yes
C0109,50,F,ระยอง,TikTok Shop,Makeup,2026-06-06,2026-06-06,25,1,349,432,Yes,Yes
C0110,54,F,ปทุมธานี,LINE OA,Makeup,2025-03-16,2026-06-28,3,12,37090,3083,Yes,Yes
C0111,45,F,นนทบุรี,Shopee,Makeup,2025-08-28,2026-06-03,28,12,15526,1306,Yes,Yes
C0112,30,M,กรุงเทพฯ,TikTok Shop,Fragrance,2024-11-19,2026-05-25,37,7,4817,678,Yes,No
C0113,29,F,ชลบุรี,Shopee,Fragrance,2026-02-27,2026-06-14,17,7,5912,862,Yes,Yes
C0114,27,M,ภูเก็ต,Website,Makeup,2025-01-22,2026-01-10,172,8,9385,1158,Yes,No
C0115,41,M,ระยอง,Website,Supplements,2026-03-25,2026-06-21,10,28,41903,1503,Yes,No
C0116,46,F,เชียงใหม่,Lazada,Fragrance,2025-08-25,2025-11-05,238,7,6989,973,Yes,Yes
C0117,50,N/A,ภูเก็ต,Website,Haircare,2026-02-24,2026-06-20,11,5,5280,1061,Yes,No
C0118,39,F,สมุทรปราการ,LINE OA,Haircare,2024-10-06,2025-12-28,185,5,4358,872,Yes,No
C0119,27,F,ภูเก็ต,Lazada,Skincare,2024-09-12,2026-06-21,10,33,91975,2783,Yes,Yes
C0120,39,M,อุดรธานี,Shopee,Supplements,2024-04-23,2026-03-12,111,7,4416,632,Yes,No
C0121,41,F,ปทุมธานี,TikTok Shop,Skincare,2025-07-21,2025-07-21,345,1,357,297,Yes,No
C0122,52,F,อุดรธานี,Shopee,Supplements,2024-12-20,2026-06-22,9,7,5157,758,No,Yes
C0123,28,M,ปทุมธานี,Shopee,Haircare,2024-08-25,2026-06-25,6,24,44098,1831,Yes,Yes
C0124,30,F,กรุงเทพฯ,Lazada,Makeup,2024-09-10,2026-02-02,149,10,9548,959,No,No
C0125,26,F,กรุงเทพฯ,LINE OA,Supplements,2024-08-24,2026-06-04,27,3,2422,840,Yes,Yes
C0126,46,N/A,กรุงเทพฯ,Shopee,Fragrance,2025-08-07,2026-06-12,19,3,1163,427,Yes,Yes
C0127,33,F,กรุงเทพฯ,Shopee,Makeup,2025-04-18,2026-06-04,27,2,711,327,Yes,Yes
C0128,26,M,กรุงเทพฯ,Shopee,Supplements,2025-01-24,2026-06-21,10,3,1875,643,Yes,No
C0129,33,M,นนทบุรี,TikTok Shop,Skincare,2025-06-28,2026-05-19,43,7,7983,1161,Yes,Yes
C0130,54,F,กรุงเทพฯ,Website,Skincare,2024-12-01,2026-06-11,20,38,123509,3247,Yes,Yes
C0131,51,F,สมุทรปราการ,Lazada,Makeup,2025-12-03,2026-03-12,111,5,5884,1180,Yes,Yes
C0132,40,F,สมุทรปราการ,Website,Skincare,2026-03-15,2026-06-22,9,24,65478,2729,Yes,Yes
C0133,48,M,นนทบุรี,LINE OA,Haircare,2025-01-31,2026-06-20,11,23,78917,3436,Yes,Yes
C0134,50,F,ชลบุรี,LINE OA,Makeup,2025-07-12,2026-06-24,7,18,24783,1379,Yes,Yes
C0135,25,F,นนทบุรี,LINE OA,Supplements,2025-08-18,2026-06-23,8,10,13959,1399,Yes,Yes
C0136,23,M,สงขลา,Lazada,Haircare,2025-07-27,2026-05-26,36,7,7821,1108,Yes,No
C0137,56,F,สงขลา,Website,Haircare,2025-02-05,2026-06-06,25,6,4042,681,Yes,Yes
C0138,60,M,กรุงเทพฯ,TikTok Shop,Haircare,2026-02-27,2026-06-13,18,2,1319,745,Yes,No
C0139,41,F,สมุทรปราการ,Shopee,Makeup,2024-08-08,2026-06-29,2,31,92734,2994,No,Yes
C0140,26,F,กรุงเทพฯ,TikTok Shop,Makeup,2025-09-11,2025-09-11,293,1,533,440,Yes,No
C0141,34,F,เชียงใหม่,TikTok Shop,Supplements,2026-01-15,2026-06-14,17,17,55235,3244,Yes,Yes
C0142,46,M,นนทบุรี,Shopee,Skincare,2025-11-12,2025-11-12,231,1,338,501,Yes,No
C0143,58,N/A,กรุงเทพฯ,Lazada,Skincare,2025-05-06,2025-11-13,230,9,5047,566,Yes,Yes
C0144,53,F,ภูเก็ต,TikTok Shop,Skincare,2025-01-11,2026-06-03,28,12,7500,626,No,Yes
C0145,38,F,ระยอง,Website,Haircare,2025-12-28,2026-06-04,27,3,1997,720,Yes,No
C0146,51,M,ปทุมธานี,Lazada,Skincare,2025-07-09,2025-12-13,200,5,2988,632,Yes,Yes
C0147,30,F,นครราชสีมา,Website,Haircare,2025-10-22,2025-10-22,252,1,443,515,Yes,Yes
C0148,60,N/A,กรุงเทพฯ,LINE OA,Haircare,2025-11-19,2026-06-12,19,32,60358,1890,No,Yes
C0149,54,F,กรุงเทพฯ,LINE OA,Skincare,2026-06-28,2026-06-28,3,1,577,383,Yes,No
C0150,33,F,กรุงเทพฯ,TikTok Shop,Supplements,2024-08-12,2026-01-18,164,9,9476,1058,Yes,Yes
C0151,38,F,สมุทรปราการ,Shopee,Supplements,2025-12-02,2026-05-28,34,11,12155,1095,Yes,No
C0152,25,F,นนทบุรี,Shopee,Skincare,2025-01-22,2026-06-13,18,23,76030,3309,Yes,Yes
C0153,30,F,กรุงเทพฯ,Website,Supplements,2025-07-05,2026-06-20,11,2,1203,554,Yes,Yes
C0154,55,M,ภูเก็ต,Lazada,Makeup,2025-03-19,2025-11-24,219,4,3531,902,Yes,Yes
C0155,34,F,เชียงใหม่,Website,Haircare,2025-10-15,2026-03-31,92,6,6314,1049,Yes,Yes
C0156,53,F,กรุงเทพฯ,Shopee,Skincare,2024-09-15,2026-01-19,163,6,6454,1066,No,No
C0157,50,M,สมุทรปราการ,Website,Makeup,2024-08-26,2026-06-03,28,10,11611,1171,Yes,Yes
C0158,28,F,เชียงใหม่,Shopee,Makeup,2024-12-01,2025-11-22,221,5,5713,1120,Yes,No
C0159,39,M,นครราชสีมา,Lazada,Haircare,2025-04-13,2026-05-25,37,3,2211,801,No,No
C0160,54,F,นครราชสีมา,TikTok Shop,Skincare,2024-09-08,2026-05-23,39,3,1116,327,Yes,Yes
C0161,54,F,กรุงเทพฯ,Website,Fragrance,2025-12-24,2026-02-24,127,10,8814,889,Yes,Yes
C0162,26,F,สมุทรปราการ,Website,Makeup,2025-08-24,2025-11-25,218,5,4641,920,Yes,No
C0163,34,F,กรุงเทพฯ,Lazada,Haircare,2024-07-04,2026-05-23,39,7,7471,1070,Yes,Yes
C0164,49,M,กรุงเทพฯ,Shopee,Skincare,2025-06-19,2025-06-19,377,1,308,402,Yes,No
C0165,20,F,กรุงเทพฯ,LINE OA,Skincare,2025-07-12,2026-06-04,27,11,10918,1004,Yes,Yes
C0166,35,F,สงขลา,Lazada,Skincare,2026-05-27,2026-05-27,35,1,593,506,Yes,No
C0167,44,F,ระยอง,Shopee,Skincare,2025-07-23,2025-07-23,343,1,250,365,Yes,No
C0168,48,F,กรุงเทพฯ,TikTok Shop,Haircare,2025-09-20,2025-09-20,284,1,373,330,Yes,Yes
C0169,20,F,กรุงเทพฯ,Lazada,Fragrance,2025-07-20,2025-07-20,346,1,368,295,Yes,No
C0170,36,F,สมุทรปราการ,Lazada,Supplements,2025-06-15,2025-06-15,381,1,636,453,Yes,No
C0171,39,F,ระยอง,Lazada,Skincare,2025-12-31,2026-05-25,37,12,8742,737,Yes,Yes
C0172,45,F,กรุงเทพฯ,Shopee,Makeup,2025-03-26,2026-06-14,17,9,10756,1181,Yes,No
C0173,39,M,เชียงใหม่,Lazada,Skincare,2025-03-29,2026-01-26,156,5,2558,506,Yes,Yes
C0174,37,F,กรุงเทพฯ,Shopee,Haircare,2024-12-10,2026-06-07,24,6,6607,1076,Yes,No
C0175,44,M,กรุงเทพฯ,Lazada,Haircare,2025-05-01,2026-06-17,14,7,7733,1089,No,No
C0176,22,M,กรุงเทพฯ,TikTok Shop,Fragrance,2025-04-23,2026-05-28,34,3,1309,383,Yes,No
C0177,31,F,กรุงเทพฯ,Website,Haircare,2025-08-13,2026-01-09,173,5,3366,668,Yes,No
C0178,37,M,ชลบุรี,Lazada,Haircare,2024-07-22,2025-12-07,206,8,7486,925,Yes,No
C0179,48,M,สงขลา,Website,Skincare,2026-03-20,2026-06-28,3,25,65105,2611,Yes,No
C0180,23,M,ปทุมธานี,Lazada,Haircare,2024-11-07,2025-12-26,187,7,6174,883,Yes,Yes
C0181,19,F,สมุทรปราการ,Shopee,Fragrance,2026-05-12,2026-06-14,17,29,81375,2809,Yes,No
C0182,25,N/A,กรุงเทพฯ,Shopee,Skincare,2026-06-08,2026-06-08,23,1,667,771,Yes,No
C0183,33,F,กรุงเทพฯ,Shopee,Haircare,2026-03-01,2026-05-19,43,6,4324,703,Yes,Yes
C0184,33,F,กรุงเทพฯ,TikTok Shop,Skincare,2025-06-19,2026-06-12,19,21,45445,2159,Yes,No
C0185,59,F,กรุงเทพฯ,TikTok Shop,Haircare,2025-05-13,2026-05-30,32,7,8511,1241,Yes,Yes
C0186,27,N/A,อุดรธานี,Lazada,Supplements,2025-06-20,2026-05-23,39,7,9519,1372,No,No
C0187,46,F,กรุงเทพฯ,Shopee,Supplements,2025-10-09,2026-01-27,155,7,5367,748,Yes,No
C0188,31,N/A,กรุงเทพฯ,Website,Makeup,2024-10-20,2026-06-14,17,5,3470,674,No,Yes
C0189,33,F,ปทุมธานี,Website,Haircare,2025-01-15,2026-06-19,12,8,11058,1359,Yes,Yes
C0190,41,N/A,สมุทรปราการ,TikTok Shop,Makeup,2025-08-03,2026-05-27,35,2,1511,777,Yes,Yes
C0191,32,F,นครราชสีมา,TikTok Shop,Haircare,2024-10-09,2026-06-07,24,2,839,508,Yes,No
C0192,49,M,ปทุมธานี,Shopee,Makeup,2025-04-02,2026-01-08,174,5,3591,700,No,Yes
C0193,40,M,สงขลา,Lazada,Skincare,2025-06-27,2025-06-27,369,1,464,578,Yes,Yes
C0194,60,M,กรุงเทพฯ,Shopee,Skincare,2025-08-21,2025-08-21,314,1,250,280,Yes,Yes
C0195,57,M,กรุงเทพฯ,TikTok Shop,Haircare,2026-05-29,2026-05-29,33,1,353,523,No,No
C0196,52,M,กรุงเทพฯ,Shopee,Fragrance,2025-08-23,2026-06-30,1,29,83805,2884,Yes,No
C0197,34,F,สมุทรปราการ,Lazada,Supplements,2024-12-04,2026-06-26,5,15,50322,3347,Yes,Yes
C0198,59,F,กรุงเทพฯ,TikTok Shop,Supplements,2024-02-17,2026-01-16,166,5,3496,731,Yes,Yes
C0199,39,F,กรุงเทพฯ,Lazada,Makeup,2024-04-21,2026-03-12,111,9,6097,675,No,Yes
C0200,52,F,กรุงเทพฯ,LINE OA,Makeup,2025-08-11,2026-06-24,7,12,10674,877,Yes,No
C0201,54,F,ระยอง,Shopee,Supplements,2025-06-11,2026-03-14,109,10,9158,907,Yes,No
C0202,24,M,นครราชสีมา,Website,Makeup,2026-03-22,2026-06-14,17,34,51691,1521,No,Yes
C0203,32,M,นครราชสีมา,Shopee,Makeup,2024-12-01,2026-05-17,45,10,6330,630,No,Yes
C0204,58,F,กรุงเทพฯ,Shopee,Skincare,2025-04-29,2026-06-22,9,9,7546,852,Yes,Yes
C0205,46,F,ระยอง,Shopee,Makeup,2024-11-21,2026-03-07,116,10,7655,776,Yes,Yes
C0206,23,F,ชลบุรี,Shopee,Haircare,2025-04-17,2026-06-18,13,31,78379,2528,Yes,No
C0207,27,F,กรุงเทพฯ,Shopee,Skincare,2024-12-31,2026-06-18,13,11,8440,773,Yes,Yes
C0208,47,F,อุดรธานี,Lazada,Skincare,2025-09-29,2026-05-17,45,8,10819,1338,Yes,No
C0209,26,F,กรุงเทพฯ,Lazada,Skincare,2024-09-05,2026-06-05,26,10,10633,1050,Yes,No
C0210,49,F,ปทุมธานี,TikTok Shop,Fragrance,2025-10-20,2025-10-20,254,1,537,413,Yes,Yes
C0211,19,F,กรุงเทพฯ,Shopee,Fragrance,2024-10-07,2026-05-23,39,8,9841,1206,Yes,No
C0212,33,F,สมุทรปราการ,Shopee,Skincare,2026-05-30,2026-05-30,32,1,673,718,Yes,Yes
C0213,44,M,นครราชสีมา,Lazada,Makeup,2025-08-06,2025-08-06,329,1,554,495,Yes,Yes
C0214,59,M,สมุทรปราการ,TikTok Shop,Haircare,2025-07-13,2026-01-29,153,4,2425,611,Yes,No
C0215,32,F,สมุทรปราการ,Shopee,Makeup,2025-12-06,2025-12-06,207,1,402,470,Yes,No
C0216,19,F,สงขลา,Website,Makeup,2025-05-02,2026-05-20,42,12,16557,1390,Yes,No
C0217,40,F,กรุงเทพฯ,LINE OA,Makeup,2025-01-08,2026-06-16,15,21,54771,2605,Yes,No
C0218,28,F,สมุทรปราการ,LINE OA,Fragrance,2026-02-09,2026-06-30,1,34,56945,1671,Yes,Yes
C0219,60,F,ภูเก็ต,TikTok Shop,Makeup,2024-02-04,2025-12-20,193,7,5054,737,Yes,No
C0220,54,F,นนทบุรี,Shopee,Skincare,2025-11-07,2026-02-09,142,4,3036,719,No,Yes
C0221,42,M,อุดรธานี,LINE OA,Haircare,2024-09-11,2026-06-14,17,33,105692,3204,Yes,Yes
C0222,25,F,นนทบุรี,Shopee,Skincare,2025-06-04,2026-05-20,42,9,10929,1229,Yes,Yes
C0223,52,F,ปทุมธานี,Lazada,Haircare,2024-02-14,2025-12-25,188,5,5489,1088,Yes,No
C0224,49,F,สมุทรปราการ,TikTok Shop,Skincare,2026-04-20,2026-05-29,33,7,6437,922,Yes,No
C0225,19,F,กรุงเทพฯ,Lazada,Supplements,2024-04-11,2025-12-10,203,7,6317,925,Yes,Yes
C0226,25,F,กรุงเทพฯ,TikTok Shop,Skincare,2024-09-17,2026-05-26,36,12,14005,1179,Yes,No
C0227,33,F,กรุงเทพฯ,LINE OA,Skincare,2024-07-18,2026-06-17,14,2,1570,859,No,Yes
C0228,57,F,กรุงเทพฯ,Website,Haircare,2025-01-15,2026-02-08,143,4,3069,742,Yes,Yes
C0229,38,N/A,ขอนแก่น,Lazada,Fragrance,2025-11-06,2026-05-27,35,3,2052,659,Yes,No
C0230,44,F,กรุงเทพฯ,Shopee,Fragrance,2025-06-08,2025-06-08,388,1,781,597,No,No
C0231,35,M,กรุงเทพฯ,Lazada,Haircare,2024-07-24,2026-06-01,30,10,8625,853,Yes,Yes
C0232,55,M,นนทบุรี,Lazada,Skincare,2024-12-29,2025-12-29,184,9,7105,784,Yes,No
C0233,45,F,ระยอง,Website,Supplements,2025-07-07,2026-03-17,106,9,7797,866,Yes,Yes
C0234,20,F,กรุงเทพฯ,Website,Skincare,2025-10-18,2026-01-05,177,8,8158,996,Yes,Yes
C0235,37,M,กรุงเทพฯ,LINE OA,Skincare,2024-03-17,2026-02-10,141,4,3619,938,No,Yes
C0236,45,F,กรุงเทพฯ,TikTok Shop,Haircare,2025-10-03,2026-06-29,2,33,61897,1877,Yes,Yes
C0237,25,F,นนทบุรี,Shopee,Fragrance,2024-11-24,2025-12-10,203,8,9724,1196,Yes,Yes
C0238,42,N/A,กรุงเทพฯ,TikTok Shop,Supplements,2026-01-08,2026-06-27,4,37,59856,1619,Yes,Yes
